name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
基本モッド仕様,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,さまざまな船体にこの改造を適用するためのノート、ガイドライン、および実用的な例のコレクション。,50
,,,,,,,,,,,,,,,
# 工業スロットアイテム,,,,,,,,,,,,,,,
腐敗したナノフォージ,corrupted_nanoforge,"nanoforge, pather4, colony_item, codex_unlockable",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","必要な原材料と人間の支援があれば、工業規模にまで自らを構築できる強力で多用途な製造「ブラックボックス」。

このナノフォージはかつての輝きを失っており、欠陥のない部品を安定して生産することはできません。それでも、ナノフォージにアクセスできること自体が宇宙船建造においては一歩前進です。",139
新鮮なナノフォージ,pristine_nanoforge,"nanoforge, hist3t, pather4, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","必要な原材料と人間の支援があれば、工業規模にまで自らを構築できる強力で多用途な製造「ブラックボックス」。

このナノフォージは、少なくともそのオンボード診断によれば新品同様です。実際には、セクター全体の製造状態を考慮すると、欠陥のない宇宙船部品を得ることは依然として課題ですが、このナノフォージは最高のものです。",139.1
シンクロトロンコア,synchrotron,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,ファームウェアとシードナノテクノロジーを搭載した特殊なナノフォージで、工業規模の反物質生産を可能にするシンクロトロンに自らを構築します。,139.2
軌道融合ランプ,orbital_fusion_lamp,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"惑星に十分な光と熱を提供できる小型の可変出力融合炉。

安全に運転するには膨大な量の揮発性物質が必要です。需要が満たされない場合、炉は潜在的に危険な不安定性に苦しみ、出力の制御不能な急増を引き起こす可能性があります。この装置が本質的に安全でない設計なのか、単に安全に使用されていないのかについての訴訟は、崩壊時にドメインの裁判所で進行中でした。",135
ハイパーシュントタップ,coronal_portal,"hist3t, pather8, planet_search, colony_item, codex_unlockable",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"近くのコロナハイパーシュントに接続するために起動できる小型のワームホールインターフェースで、コロニーに事実上無限の電力を提供します。

運転には工業規模のトランスプルトニクスが必要で、最初はワームホールを開くために使用され、その後、引き出された電力が自己持続可能になると、ワームホールの安定性を維持するための複雑なアブレーティブプロセスで消費されます。供給の中断はタップの完全なシャットダウンを必要とします。",137
自律的マントルボア,mantle_bore,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,セクター内に機能する制御オーバーライドユニットが残っていないと考えられていますが、ボア自体は独立した（時には予測不可能な）運用が可能です。自動モードのフェイルセーフは、居住可能な世界での使用を禁止します。,140
触媒コア,catalytic_core,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,浸透物理の驚くべき特性によって、精製作業の効果を大幅に向上させます。運転には、重要な大気圧を持つ惑星で達成するのが難しいスケールの真空へのアクセスが必要です。,145
土壌ナノ粒子,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,自然のプロセスが行う速度をはるかに超えた土壌の改良と回復を可能にします。ドメインナノ粒子安全規制4324、サブセクション81は、トランスプルトニウム鉱石や揮発性物質の鉱床がある世界での使用を禁止しており、残念ながら内蔵のフェイルセーフは機能しているようです。,150
バイオファクトリー胚,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,消費財の目を眩ませるような配列は、製造されるのではなく成長することができます。完全に押し出されたバイオファクトリーは、居住可能な世界が提供できる日光、土壌栄養素、大気条件の微妙なバランスの中でのみ繁栄します。人工環境でこれらの条件を模倣しようとする試みは常に失敗し、工場は病気になり、遺伝子にコードされたフェイルセーフによるものと考えられます。,155
フラーレンスプール,fullerene_spool,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport",宇宙エレベーターの建設に不可欠な超強力なカーボンナノメッシュケーブル。惑星の表面と低軌道間の物流の効率を大幅に向上させます。,160
プラズマダイナモ,plasma_dynamo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,適切なガス巨星の大気から揮発性物質を効率的かつ壮観に抽出するための惑星規模のプラズマネットを生成する工業システムの超伝導体フランジ付き中心部。,165
