id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"古代の低コストで入手しやすい連射武器の一種で、宇宙戦闘の歴史の中で短距離でミサイルや戦闘機に対して効果的に使用されてきました。適切に装甲された目標に対してはほとんど無力です。

製造と改造が容易なため、数百のバリエーションが存在します。化学的に推進された不活性弾を連射するこれらの武器は、粗悪なオートフォージでも簡単に生産でき、特定の口径以下のものは軽量艦載機関銃として分類されます。これらの武器の動作を駆動するメカニズムは大きく異なります。

低コストのため、小型の民間船に人気があります。弾の密なコアは、給弾作動と貫通を助けるために、しばしば硬い金属で被覆されています。これらの武器システムは、原始的な設計にもかかわらず、近距離で驚くほど大量の運動エネルギーを発揮します。",,,,,
lightdualmg,WEAPON,"名高い軽機関銃のアップグレード版で、ツインバレル仕様です。装甲の厚い目標に対しては特に効果的ではありませんが、人類の宇宙戦闘の黎明以来、対ミサイルおよび対戦闘機の役割で優れた性能を発揮しています。

これは、セクター内のすべてのパイロットと武器職人に知られている同じ高速発射、惰性、低口径の化学弾薬を使用したデュアルマウントです。ミサイル迎撃および対戦闘機の役割で優れたポイントディフェンスマウントです。

敵艦のシールドシステムに近距離で伝達される大量の運動エネルギーは、通常、エミッターのオーバーロードを引き起こします。これは経験の浅い艦長によってしばしば見落とされる戦術的選択肢です。",,,,,
lightmortar,WEAPON,"古風な武器で、低い発射速度、銃口速度、射程で対装甲弾を発射します。低いフラックス蓄積が唯一の救いです。

ライトモーターの武器設計図は宇宙船用に作られたものではありませんが、巧妙な改造により、気圧環境外での取り付けと使用が可能になっています。戦闘では、ライトモーターはひどいマウント回転と発射速度のため、素早く動くターゲットやシールドを持つターゲットに対して効果が薄いです。それにもかかわらず、初心者の砲術士官が宇宙弾道戦術や用語の細かい点を学ぶためにしばしば使用されます。

低い質量とコストのため、プライベートヨットや単独の惑星間車両に一般的に装備されています。",,,,,
heavymortar,WEAPON,"古い武器で、より小型の武器よりもやや高い発射速度で大きな対装甲弾を発射します。弾速は遅く、有効射程も短いです。低いフラックスの蓄積が唯一の救いです。

ヘビーモルタは元々、惑星表面での戦闘用に設計されました。軍事要塞を破壊するために意図されていたようですが、都市の爆撃での使用がはるかに多かったです。頑丈な内部機構により、大気環境外での設置と使用が可能で、わずかな調整、特に自動距離計/ターゲティングモジュールの交換が必要です。大きく、シールドのない、遅い動きのターゲットに対して使用されると、ヘビーモルタは非常に効果的です。",,,,,
vulcan,WEAPON,"近距離でミサイルや戦闘機に特に壊滅的な影響を与える高速弾道ポイントディフェンス武器システムです。長時間の連射中に精度が急激に低下します。

この多銃身武器プラットフォームは、ヘゲモニー認可のナノフォージによって最も一般的に製造される高度なタイミング機構を中心に構築されています。弾丸は通常、 depleted uranium（劣化ウラン）で先端が加工されており、爆発性はありません。複数の銃身により、非常に高い発射速度を実現しますが、高いフラックスコストがかかります。",,,,,
lightac,WEAPON,"軽量シャーシにしては良好な射程を持つ小口径のオートキャノンです。敵のシールドに対抗するために設計されており、特に小型船体で使用される弱い発電機に対して効果的です。

高速度の運動エネルギー弾を特徴としており、小型艦艇に対する優れた火力支援武器を提供します。複雑なオートローダーと液体冷却のためにマウントの旋回速度が悪く、軽量オートキャノンは戦闘機やミサイルに対する防御には不向きです。",,,,,
lightdualac,WEAPON,"ライトオートキャノンのダブルバレルバージョンです。近距離支援に優れ、シールドを破るのにも非常に効果的ですが、高い反動のため有効射程が短くなっています。

巧妙な機械設計により、標準のライトオートキャノンシャーシの2倍の発射済み薬莢を排出しながら、排出ポートが詰まるのを防ぎます。シングルバレルバージョンと同様に、この武器システムは敵のシールドを貫通するように設計された高速弾を発射します。オートローダーと液体冷却システムは、シングルバレルバージョンと同一です。",,,,,
lightag,WEAPON,"近距離戦闘用に設計された小口径砲で、装甲に対して優れた効果を発揮し、素晴らしい発射速度を持っています。

高爆発弾を発射するために設計された小口径砲です。冷却システムとオートローダーの設計は、安全性を重視し、高いフラックスレベルによって引き起こされる可能性のあるクックオフを防ぐことに重点を置いています。証明したいことのある駆逐艦の艦長に好まれています。",,,,,
fragbomb,WEAPON,"発射機の運動量を保持したまま、自由に浮遊するボンブレットのクラスターを放出します。ボンブレットには近接信管が装備されています。

フラグ爆弾プロジェクターは、3つのチューブからマークVI破片ボンブレットを発射します。誘導なしで推進システムもないボンブレットは、友軍・敵軍のターゲティングシステムに依存しています。膨大な数により、広範囲の空間をカバーし、その場所にポイントディフェンスバリアを効果的に作成しますが、限られた時間しか持続しません。近接信管が敵機によってトリガーされると、ボンブレットは爆発し、フラック兵器と同様の効果を達成します。",,,,,
clusterbomb,WEAPON,"自由に浮遊する高威力の爆弾を放出します。シールドのない遅いターゲットに対してより効果的です。

クラスター爆弾発射器は、数十発のマークII爆発形成貫通弾を発射するために設計された3つのチューブを備えています。爆弾は誘導されておらず、推進システムもなく、攻撃機の初期の運動量に依存してターゲットに接触します。友軍と敵を識別するためのスキャナーが装備されており、適切なターゲットに衝突したときのみ爆発します。成形炸薬はシールドのないターゲットに対して非常に効果的です。この武器システムによって展開可能な爆弾の数は驚異的であり、そのためクラスター爆弾は有用なエリア拒否武器となります。",,,,,
