name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
加速シールド,advancedshieldemitter,0,,,"defensive, shields, merc, standard",Shields,3000,,,,3,6,9,15,data.hullmods.AcceleratedShieldEmitter,船のシールドの旋回速度を %s 増加させ、シールドの上昇速度を %s 増加させます。,Increases shield turn rate and extension speed.,シールドの旋回速度と上昇速度をさらに %s 増加させます。,graphics/hullmods/accelerated_shields.png
適応フェイズコイル,adaptive_coils,2,,,"phase, merc, standard",Phase,5000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdaptivePhaseCoils,"フェイズコイルは、船のハード・フラックスレベルが上昇するにつれて通常空間との接続を維持する能力が低下し、コイルがトラクションを得るのに苦労するため、最高速度が大幅に低下します。

この改造により、コイルはより高いレベルのハード・フラックスを扱えるようになり、速度が底を打つ閾値を %s 増加させます。標準設計のコイルで他の改造がない場合、この閾値は %s から %s に変わります。",Reduces impact of hard flux level on top speed while phased.,,graphics/hullmods/phase_field.png
高度な光学,advancedoptics,2,,,"offensive, merc, standard",Weapons,1000,,,,5,10,15,25,data.hullmods.AdvancedOptics,ビーム兵器の射程を %s 増加させますが、旋回速度を %s 減少させます。統合ターゲティングユニットと累積します。,Increases beam weapon range.,,graphics/hullmods/advanced_optics.png
高度なタレットジャイロ,turretgyros,0,,,"defensive, merc, standard",Weapons,2500,,,,2,4,6,10,data.hullmods.AdvancedTurretGyros,すべてのタレットの旋回速度を %s 増加させます。,Increases turret turn rate.,ミサイルと戦闘機へのダメージを %s 増加させます。サイズクラスの差ごとに小型船へのダメージを %s 増加させます。,graphics/hullmods/advanced_turret_gyros.png
装甲武器マウント,armoredweapons,0,,,"defensive, merc, standard","Weapons, Defenses",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,すべての武器の耐久性を %s 増加させ、反動を %s 減少させますが、武器の旋回速度を %s 減少させます。また、船の装甲を %s 増加させます。,"Makes weapons harder to disable, reduces recoil.",すべての非ミサイル武器の発射速度を %s 増加させます。,graphics/hullmods/armored_weapon_emplacements.png
アサルトパッケージ,assault_package,1,,,"defensive, civ_package, no_drop, no_drop_salvage, hide_in_codex","Special, Defenses",8000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.AssaultPackage,"船の船体の耐久性を %s 増加させ、装甲を %s 増加させ、フラックス容量を %s 増加させます。

敵に対して攻撃を試み、戦闘中は戦闘艦として行動します。","Increases hull integrity, armor, and flux capacity.",,graphics/hullmods/assault_package.png
自動修理ユニット,autorepair,2,,,"engines, defensive, merc, standard",Defenses,7500,,,,3,6,9,15,data.hullmods.AutomatedRepairUnit,無効化された武器とエンジンの修理に必要な時間を (戦闘中) %s 減少させます。,Increases weapon repair rate in combat.,修理時間を %s に短縮し、オーバーロードの持続時間を %s 減少させます。,graphics/hullmods/automated_repair_unit.png
補助スラスター,auxiliarythrusters,1,,,"engines, merc, standard",Engines,5000,TRUE,,,4,8,12,20,data.hullmods.AuxiliaryThrusters,船の機動性を %s 増加させます。,Increases maneuverability.,0フラックス速度ブーストを %s 増加させ、0フラックス旋回率ボーナスを %s 増加させます。,graphics/hullmods/auxilliary_thrusters.png
弾道レンジファインダー,ballistic_rangefinder,2,,,"offensive, merc, standard",Weapons,8000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.BallisticRangefinder,<tooltip created in the script due to lots of highlighting>,Increases base range of small and medium weapons in ballisic slots.,,graphics/hullmods/ballistic_rangefinder.png
ブラスドア,blast_doors,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,4,8,12,20,data.hullmods.BlastDoors,"船の重要な部分に追加の密閉された強化ドアを設置します。船体の耐久性を %s 増加させます。

船は戦闘中に受けた船体ダメージから %s 少ない乗組員の犠牲を出します。","Increases hull integrity, reduces crew casualties.",乗組員の犠牲削減を %s に増加させます。,graphics/hullmods/blast_doors.png
改造ハンガー,converted_hangar,1,,,"special, non_phase, merc, standard",Fighters,5000,,,,0,10,10,10,com.fs.starfarer.api.impl.hullmods.ConvertedHangar,<スクリプトで作成されたツールチップ>,Improvised fighter bay for non-carriers.,巡洋艦の戦闘機補充率の回復速度を %s 増加させ、主力艦の戦闘機補充率の回復速度を %s 増加させます。駆逐艦には追加効果はありません。,graphics/hullmods/converted_hangar.png
改造戦闘機バイ,converted_fighterbay,0,,,"req_spaceport, special, non_phase, standard","Fighters, Logistics, Requires Dock",3000,,,,2,4,6,10,data.hullmods.ConvertedFighterBay,船の戦闘機バイを改造して即席の貨物室に変換し、追加で %s の貨物容量を与え、戦闘機バイごとに %s の乗組員要件を削減します。乗組員の削減は最大 %s に制限されます。,Converts built-in fighter bays into improvised cargo holds.,月間メンテナンスコストが戦闘機バイごとに %s 減少します。,graphics/hullmods/converted_fighter_bay.png
専用ターゲティングコア,dedicated_targeting_core,0,,,"offensive, merc, standard",Weapons,2500,TRUE,,,0,0,15,25,data.hullmods.DedicatedTargetingCore,"巡洋艦/主力艦のために、弾道およびエネルギー兵器の射程を %s/%s 増加させます。

フリゲートや駆逐艦には取り付けられず、統合ターゲティングユニットと併用することはできません。

ほとんどの戦闘艦は、統合ターゲティングユニットまたは専用ターゲティングコアのいずれかを装備しており、より専門的なバリエーションを除きます。","Increases weapon range, more so for larger ships.",巡洋艦の射程ボーナスを %s、主力艦の射程ボーナスを %s 増加させます。,graphics/hullmods/targeting_core.png
