name,id,tags,planetary,decivRemove,script,desc,icon,order
都市化された政体,urbanized_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,密集した国際的な人口中心であり、あらゆる階層の人々が積み重なった居住複合施設、商業コンコース、モジュラー工房で生活し、働き、そして死んでいきます。,graphics/icons/markets/urbanized_polity.png,130
産業国家,industrial_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,賑やかな工業中心。地元政府の政策は、他のすべての懸念を犠牲にして、繁栄する産業を奨励しています。,graphics/icons/markets/urbanized_polity.png,130
農村政体,rural_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,人口がまばらな自給自足の集落と孤立した町からなる政体です。この困難な時代において、外部の者は一般的に疑いの目で見られます。,graphics/icons/markets/rural_polity.png,130
大規模難民人口,large_refugee_population,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,災害から逃げてきた絶望的な難民たちがここにたどり着きました。難民は社会の底辺で生活しており、より良い状況への機会はほとんどなく、緊張した半合法的な状態で国内インフラに負担をかけています。全体的な生産が減少しています。劣悪な生活環境から逃れようとしている人々の中に、より多くの見込みのある乗組員が見つかる可能性があります。,graphics/icons/markets/refugee_population.png,140
ヴォルターニアン・ロブスター・ペン,volturnian_lobster_pens,"show_in_codex, codex_unlockable",TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,いくつかの古代地球の種と少しの想像力が組み合わさって、この生物が生まれました。これはボルターニの海底の圧倒的な深さで自然に育ちます。その味は特別だと言われています。,graphics/icons/markets/lobster_pens.png,137
副需要,vice_demand,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,ここでは副産物の需要が異常に高いです。,graphics/icons/markets/vice_demand.png,145
組織犯罪,organized_crime,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,犯罪活動は麻薬や収穫された臓器を生み出します。さまざまな犯罪ボスや地元市民による手持ち武器の需要が増加し、地元当局による海兵隊員の需要も増加します。,graphics/icons/markets/organized_crime.png,148
フロンティア,frontier,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,人口の中心から遠く離れたフロンティアでは、単なる生存、自立、そして必要最低限のものだけがルールです。武器や物資の需要は増加し、贅沢品の需要は減少しています。,graphics/icons/markets/frontier.png,130
艦船解体センター,shipbreaking_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,この星系の船体解体の主要な拠点であり、主要な勢力の海軍や星系のコアワールドからの多くの他のクライアントによって、ハルクがここで解体されることが委託されています。,graphics/icons/markets/shipbreaking.png,360
交易センター,trade_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,主要な貿易の中心地であり、星系中の商船がここに寄港し、商品を買ってくれる買い手を見つけることを期待しています。そして、逆に良い利益のために何かを購入することを求めています。,graphics/icons/markets/trade_center.png,280
非文明化,decivilized,,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,ここには安定した支配政権は存在しません。文明は崩壊しており、現在の人口は実質的に不明ですが、生存者、盗賊、略奪者のグループが確認されています。,graphics/icons/markets/decivilized.png,130
未開発サブポピュレーション,decivilized_subpop,,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,文明は$marketの一部に復活しましたが、それはしばしばガウスライフルの先端によってもたらされたものです。しかし、効果的に未知の生存者、盗賊、略奪者の集団が依然として周辺に残っています。,graphics/icons/markets/decivilized.png,130
放棄されたステーション,abandoned_station,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,このステーションは放棄されています。,graphics/icons/markets/abandoned.png,130
コテージ産業,cottage_industry,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,$Marketは、低技術で労働集約型の軽工業の基盤がしっかりとしています。シンプルな有機燃料や材料の需要が高まり、効率的ではないものの魅力的に手作りされた国内製品の供給を提供します。,graphics/icons/markets/cottage_industry.png,230
前哨基地,outpost,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,$Marketは、厳格な公式指揮構造を持つ駐屯地や大型宇宙船のように運営されています。これにより安定性が向上しますが、内部の安全問題に対処するために一部の人員が必要です。,graphics/icons/markets/outpost.png,130
ルド教団多数派,luddic_majority,"show_in_codex, codex_unlockable",,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
