name,secondary,tags,parents,frequency,reusable
アエルルス,,star,,,
ヘラ,,star,,,
アレス,,planet,Hera,,
デイモス,,moon,Ares,,
フォボス,,moon,Ares,,
キュドイモス,,moon,Ares,,
マカイ,,moon,Ares,,
ミスミナイ,,moon,Ares,,
ポレモス,,moon,Ares,,
ヘベ,,planet,Hera,,
アレクシアレス,,moon,Hebe,,
アニケトゥス,,moon,Hebe,,
エリス,,planet,Hera,,
ダイスノミア,,moon,Eris,,
レーテ,,moon,Eris,,
リモス,,moon,Eris,,
アルゴス,,moon,Eris,,
ネイケア,,moon,Eris,,
エレウシア,,planet,Hera,,
エニオ,,planet,Hera,,
エニャリウス,,moon,Enyo,,
バラク,,star,,,
ズムルルド,,planet,,,
リトス,,planet,,,
テンブラ―,,planet,,,
バール,,star,,,
ベル,,star,,,
ハドゥ,,star,,,
イシュクル,,star,,,
エンキ,,star,,,
ディルムン,,planet,Enki,,
キ,,planet,Enki,,
ニントゥル,,moon,Ki,,
ニンスツ,,moon,Ki,,
ニンカシ,,moon,Ki,,
ダジムア,,moon,Ki,,
エンシャガグ,,moon,Ki,,
ニントゥ,,planet,Enki,,
ニンサール,,planet,Enki,,
ニンクラ,,planet,Enki,,
ウットゥ,,moon,Ninkurra,,
イシムド,,planet,Enki,,
イシュタル,,star,,,
デュムジ,,planet,Ishtar,,
グダム,,planet,Ishtar,,
ガラトゥーラ,,planet,Ishtar,,
クルジャラ,,planet,Ishtar,,
ダゴン,,star,,,
ベラトゥ,,planet,Dagon,,
ゴディバ,,moon,,,
偉大なる不幸,,planet,,,
ヘルツォーク,,planet,,,
混沌,,star,,,
マルキバー,,planet,Pandemonium,,
マモン,,planet,Pandemonium,,
リヴァイアサン,,planet,Pandemonium,,
アスモデウス,,planet,Pandemonium,,
ベルフェゴール,,planet,Pandemonium,,
ベリアル,,planet,Pandemonium,,
アザゼル,,planet,Pandemonium,,
ベリス,,star,,,
アシュタロス,,star,,,
サイダン,,planet,Ashtoreth,,
ガレラ,,planet,Ashtoreth,,
モロク,,star,,,
ユートピア,,star,,,
アザトース,,star,,,
アバドン,,star,,,
ディス,,star,,,
メデア,,planet,,,
クルーシブル,,planet,,,
ワーム,,planet,,,
ダンタリオン,,star,,,
謙虚さ,,planet,,,
ロマンス,,planet,,,
ワン,,planet,,,
リールー,,planet,,,
朱雀,,star,,,
アダ,,moon,,,
ルク,,moon,,,
ゼノビア,,star,,,
迷宮,,planet,,,
玄武,,star,,,
キリン,,star,,,
ブラックエンペラー,,star,,,
ミルクハイム,,star,,,
イドゥン,,planet,Myrkheim,,
ドロップニル,,ring,Myrkheim,,
イヴァルディ,,planet,Myrkheim,,
ブロクル,,planet,Myrkheim,,
ガドフライ,,moon,Brokr,,
エイトリ,,planet,Myrkheim,,
グリンブルスティ,,planet,Myrkheim,,
ハブロック,,planet,,,
ヨトゥンヘイム,,star,,,
グレイプ,,planet,Jotunheim,,
ギャルプ,,planet,Jotunheim,,
バルダルブンガ,,planet,Jotunheim,,
スリバルディ,,planet,Jotunheim,,
ゾシモス,,planet,,,
$parentの車輪,,"ring, accretion",,,
エゼキエルの車輪,,"ring, accretion",,,
$parentの弧,,ring,,,
