name,id,type,tags,activationDays,activationCooldown,durationDays,deactivationDays,deactivationCooldown,unlockedAtStart,defaultForAIFleet,musicSuppression,uiOn,uiOff,uiLoop,worldOn,worldOff,worldLoop,icon,plugin,ai,desc,sortOrder
トランスポンダー,transponder,TOGGLE,stealth-,,,,0.1,,TRUE,TRUE,,ui_transponder_on,ui_transponder_off,,,,,graphics/icons/abilities/transponder.png,com.fs.starfarer.api.impl.campaign.abilities.TransponderAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.TransponderAbilityAI,あなたの身元を放送してください。合法的な取引に必要です。,100
ダークにする,go_dark,TOGGLE,"stealth+, burn-",0.1,,,,,TRUE,TRUE,,ui_go_dark_on,ui_go_dark_off,,world_go_dark_on,world_go_dark_off,,graphics/icons/abilities/go_dark.png,com.fs.starfarer.api.impl.campaign.abilities.GoDarkAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.GoDarkAbilityAI,バーニングレベルを犠牲にしてセンサーのプロファイルを低下させます。,200
アクティブ・センサー・バースト,sensor_burst,DURATION,"stealth-, burn-, sensors+",0.2,,0.1,0.1,1,TRUE,TRUE,,ui_sensor_burst_on,,,world_sensor_burst_on,,,graphics/icons/abilities/sensor_burst.png,com.fs.starfarer.api.impl.campaign.abilities.SensorBurstAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.SensorBurstAbilityAI,停止し、探知範囲を拡大します。艦隊がより検出されやすくなります。,300
緊急バーニング,emergency_burn,DURATION,"burn+, stealth-, sensors-",0.25,,0.7,0.25,1,TRUE,TRUE,1,ui_emergency_burn_on,ui_emergency_burn_off,ui_emergency_burn_loop,world_emergency_burn_on,world_emergency_burn_off,world_emergency_burn_loop,graphics/icons/abilities/emergency_burn.png,com.fs.starfarer.api.impl.campaign.abilities.EmergencyBurnAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.EmergencyBurnAbilityAI,燃焼レベルを一時的に上昇させますが、燃料と戦闘準備が減少します。,400
持続的バーニング,sustained_burn,TOGGLE,"burn+, stealth-",0.05,,,0.05,,TRUE,TRUE,,ui_sustained_burn_on,ui_sustained_burn_off,ui_sustained_burn_loop,world_sustained_burn_on,world_sustained_burn_off,,graphics/icons/abilities/travel_drive.png,com.fs.starfarer.api.impl.campaign.abilities.SustainedBurnAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.SustainedBurnAbilityAI,加速とウィンドアップ時間のコストでバーニングレベルをブーストします。,500
干渉パルス,interdiction_pulse,DURATION,"burn-, stealth-, sensors+",0.3,,0.001,,1,TRUE,TRUE,,ui_interdict_on,ui_interdict_off,ui_interdict_loop,world_interdict_on,world_interdict_off,world_interdict_loop,graphics/icons/abilities/interdiction_pulse.png,com.fs.starfarer.api.impl.campaign.abilities.InterdictionPulseAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.InterdictionPulseAbilityAI,パルスの発生源に向かっている別の艦隊の進行を遅らせます。,650
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
scavenging,scavenge,DURATION,,0,,0,0,0.2,TRUE,,,ui_scavenge_on,,,,,,graphics/icons/abilities/scavenge.png,com.fs.starfarer.api.impl.campaign.abilities.ScavengeAbility,,破片フィールドを調べて、価値のあるものを探します。,600
ニュートリノ検出器,gravitic_scan,TOGGLE,"stealth-, sensors+",0.1,,,0.1,,,,,ui_neutrino_detector_on,ui_neutrino_detector_off,,,,,graphics/icons/abilities/neutrino_detector.png,com.fs.starfarer.api.impl.campaign.abilities.GraviticScanAbility,,非常に長距離で星系内のエンティティを検出しますが、信頼性が低く、誤った読み取りが発生することがあります。,700
横断ジャンプ,fracture_jump,DURATION,"stealth-, burn+",0.4,,0.001,0.1,0.5,,,,,,,jump_point_open,,,graphics/icons/abilities/direct_jump.png,com.fs.starfarer.api.impl.campaign.abilities.FractureJumpAbility,,新たな重力井戸を通じて星系にジャンプするか、直接ハイパースペースに入ります。,800
リモート調査,remote_survey,DURATION,"stealth-, burn-, sensors+",0.5,,0.1,0.1,,,,,ui_remote_survey_on,,,,,,graphics/icons/abilities/remote_survey.png,com.fs.starfarer.api.impl.campaign.abilities.RemoteSurveyAbility,,システム内で最も有望な調査ターゲットを特定します。,900
救難信号,distress_call,DURATION,,0,,0,0,1,TRUE,,,ui_distress_call_on,,,,,,graphics/icons/abilities/distress_call.png,com.fs.starfarer.api.impl.campaign.abilities.DistressCallAbility,,救難信号を発信します。,1000
,,,,,,,,,,,,,,,,,,,,,,
逆極性,reverse_polarity,TOGGLE,codex_unlockable,0.05,,,0.05,,,,,ui_reverse_polarity_on,ui_reverse_polarity_off,ui_reverse_polarity_loop,world_reverse_polarity_on,world_reverse_polarity_off,,graphics/icons/abilities/reverse_polarity.png,com.fs.starfarer.api.impl.campaign.abilities.ReversePolarityToggle,,スリップストリーム内で逆方向に移動するために推進フィールドを調整します。,640
スリップサージを生成する,generate_slipsurge,DURATION,"burn-, stealth-, sensors-, disabled_by_interdict, codex_unlockable",0.2,,0.001,,1,,,,ui_slipsurge_on,ui_slipsurge_off,ui_slipsurge_loop,world_slipsurge_on,world_slipsurge_off,world_slipsurge_loop,graphics/icons/abilities/slipsurge.png,com.fs.starfarer.api.impl.campaign.abilities.GenerateSlipsurgeAbility,,短命の強力なスリップストリームを生成し、迅速な移動に役立てます。,990
