id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:離脱する,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",自律的な警告ビーコンが公式チャンネルの間で歪んだ悲鳴を発し続けています。伝えられるはずだったメッセージは破損しています。,beaconLeave:離れる,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","この自律的な警告ビーコンはループメッセージを発信しています。

「危険: この星系には潜在的に活動中の自律型武器システムが存在することが知られています。無許可の者によるこのシステムへのアクセスはヘゲモニー海軍の指令224.34によって禁止されています。」",beaconLeave:離れる,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","この自律的な警告ビーコンはループメッセージを発信しています。

「危険: この星系には潜在的に活動中の自律型武器システムが存在することが知られています。無許可の者によるこのシステムへのアクセスはヘゲモニー海軍の指令224.34によって禁止されています。」",beaconLeave:離れる,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","この自律的な警告ビーコンはループメッセージを発信しています。

「危険: この星系には潜在的に活動中の自律型武器システムが存在することが知られています。無許可の者によるこのシステムへのアクセスはヘゲモニー海軍の指令224.34によって禁止されています。」",beaconLeave:離れる,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","この自律的な警告ビーコンはループメッセージを発信しています。

「この世界は技術的な罪によって堕落しており、その忌まわしさは美徳の道から逸脱した結果を証明しています。侵入は禁止されています。この警告を軽視する者は、身体が堕落し、ルドの騎士団によって執行される聖なる正義によって無法者となるでしょう。」",beaconLeave:離れる,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","静かなアダマンタインの素材のリング、かつての時代の遺物です。

ゲートは不活性です。",,
