name,gender,usage,category
トラックス,,l,fringe
グラック,,l,fringe
ブラックス,,l,fringe
アダックス,,l,fringe
ノクス,,l,fringe
プラックス,,l,fringe
ソラックス,,l,fringe
ゾル,,l,fringe
スベダール,,l,fringe
テムジャックス,,l,fringe
ジャムックス,,l,fringe
トグロル,,l,fringe
カダックス,,l,fringe
アリガー,,l,fringe
バトックス,,l,fringe
アースラックス,,l,fringe
チェチャル,,l,fringe
エルデノル,,l,fringe
テグス,m,"f, l",fringe
バタク,,l,fringe
アースラー,m,"f, l",fringe
アリガックス,,l,fringe
ノル,m,"f, l",fringe
スラール,m,"f, l",fringe
スベダックス,,l,fringe
ゾア,,l,fringe
ガル,m,"f, l",fringe
スラックス,,l,fringe
オユンガー,,l,fringe
オユンガックス,,l,fringe
ボラックス,,l,fringe
シュリアックス,,l,fringe
シュリアル,m,"f, l",fringe
ボラル,m,"f, l",fringe
アルタックス,,l,fringe
アルタラックス,,l,fringe
チャガール,,l,fringe
チャガックス,,l,fringe
バタックス,,l,fringe
バター,,l,fringe
ブルター,,l,fringe
ブルタックス,,l,fringe
ドチャル,,l,fringe
ヴォルゴル,,l,fringe
ヴォルガックス,,l,fringe
ヴォラル,,l,fringe
アタラックス,,l,fringe
アタラー,,l,fringe
ガーバックス,,l,fringe
ガーバル,,l,fringe
ドロガール,,l,fringe
ドロガックス,,l,fringe
ダラックス,,l,fringe
ナイマー,,l,fringe
ナイマル,,l,fringe
タバー,,l,fringe
ジャガックス,,l,fringe
ジャガール,,l,fringe
チナックス,,l,fringe
ブルクス,m,f,fringe
ダックス,m,f,fringe
ドル,m,f,fringe
ダル,m,f,fringe
トー,m,f,fringe
ゴル,m,f,fringe
アラダックス,m,f,fringe
ヴォル,m,f,fringe
ボル,m,f,fringe
ボックス,m,f,fringe
タル,m,f,fringe
ボク,m,f,fringe
テグ,m,f,fringe
バー,m,f,fringe
コア,m,f,fringe
コル,m,f,fringe
ヴァッハ,m,f,fringe
オソル,m,f,fringe
デルグ,m,f,fringe
スール,m,f,fringe
ソー,m,f,fringe
ダルグ,m,f,fringe
ダーグ,m,f,fringe
ガン,m,f,fringe
カチ,m,f,fringe
チャグ,m,f,fringe
ウラグ,m,f,fringe
クチ,m,f,fringe
ドルグ,m,f,fringe
ボルグ,m,f,fringe
バルグ,m,f,fringe
ブルクサ,f,f,fringe
デュクサル,f,f,fringe
ドラル,f,f,fringe
ダラ,f,f,fringe
トラ,f,f,fringe
ゴラ,f,f,fringe
アラダ,f,f,fringe
ヴォラル,f,f,fringe
ボラ,f,f,fringe
ヴォクサ,f,f,fringe
タラ,f,f,fringe
ボカ,f,f,fringe
テッガ,f,f,fringe
ブラ,f,f,fringe
クォラ,f,f,fringe
コラ,f,f,fringe
ヴァチャ,f,f,fringe
オソラ,f,f,fringe
デルガ,f,f,fringe
スラル,f,f,fringe
ソラ,f,f,fringe
ダルガ,f,f,fringe
ダーガ,f,f,fringe
ガナ,f,f,fringe
カチャ,f,f,fringe
チャガ,f,f,fringe
ウラガ,f,f,fringe
クチャ,f,f,fringe
ドルガ,f,f,fringe
ボルガ,f,f,fringe
バルガ,f,f,fringe
,,,
ウィッテモア,,l,"old english, modern"
フリッター,,l,"old english, modern"
シーモンズ,,l,"old english, modern"
フロホック,,l,"old english, modern"
スパン,,l,"old english, modern"
マリッシュ,,l,"old english, modern"
アイルベック,,l,"old english, modern"
ダマレル,,l,"old english, modern"
クリッシュ,,l,"old english, modern"
オールストン,,l,"old english, modern"
ブラジントン,,l,"old english, modern"
エックリー,,l,"old english, modern"
スクリップス,,l,"old english, modern"
カリップ,,l,"old english, modern"
リンズ,,l,"old english, modern"
オールレッド,,l,"old english, modern"
ヘッグス,,l,"old english, modern"
フィデル,,l,"old english, modern"
フィッツヒュー,,l,"old english, modern"
ラングズデール,,l,"old english, modern"
ストローガン,,l,"old english, modern"
タリル,,l,"old english, modern"
シーズビー,,l,"old english, modern"
ハルワード,,l,"old english, modern"
オーウェン,,l,"old english, modern"
ハーゲスト,,l,"old english, modern"
プリチャード,,l,"old english, modern"
グラヴェル,,l,"old english, modern"
ベリス,,l,"old english, modern"
ワージング,,l,"old english, modern"
,,,
スミス,,l,"old english, modern"
ジョンソン,,l,"old english, modern"
ウィリアムズ,,l,"old english, modern"
ジョーンズ,,l,"old english, modern"
ブラウン,,l,"old english, modern"
デイビス,,l,"old english, modern"
ミラー,,l,"old english, modern"
ウィルソン,,l,"old english, modern"
ムーア,,l,"old english, modern"
テイラー,,l,"old english, modern"
アンダーソン,,l,"old english, modern"
トーマス,m,"f, l","old english, modern"
ジャクソン,m,"f, l","old english, modern"
ホワイト,,l,"old english, modern"
ハリス,,l,"old english, modern"
マーチン,m,"f, l","old english, modern"
トンプソン,,l,"old english, modern"
ガルシア,,l,modern
マルティネス,,l,modern
ロビンソン,,l,"old english, modern"
クラーク,,l,"old english, modern"
ロドリゲス,,l,modern
ルイス,m,"f, l","old english, modern"
リー,m,"f, l","old english, modern"
ウォーカー,,l,"old english, modern"
ホール,,l,"old english, modern"
アレン,m,"f, l","old english, modern"
ヤング,,l,"old english, modern"
エルナンデス,,l,modern
キング,,l,"old english, modern"
ライト,,l,"old english, modern"
