id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,
# COMBAT,,,,,,,,,,,,,
helmsmanship,操縦術,10,1,0,,ミックスをうまく調整すると、まるで歌っているかのように感じる。[ハミング]。星から骨まで、世界はすべて正しい。シフトを終えたときは、まるで目が覚めたかのようだ。[笑い] 言葉では表現できない。,"Nachiketa Portside Interview Project, Ep.3",TRUE,,,,graphics/icons/skills/helmsmanship.png,
combat_endurance,戦闘持久力,20,1,0,,"災厄を乗り越え、十四番目は耐えた。
ヘゲモニーを通じて、ドメインは耐え続ける。
義務を通じて、人類は耐え続ける。","Admiral Kali Molina, the Declaration of Hegemony, c49",TRUE,,,,graphics/icons/skills/combat_endurance3.png,
impact_mitigation,衝撃緩和,30,2,0,,その操縦により斜めの衝撃角が生じ、シェルの運動量がフェロフォームのアプリークに分散された。その結果生じた衝撃の不運なタイミングが、スペーサー・ヨークの悲劇的な結末をもたらした。,"Thule skirmish of c120.03.08, AAR submitted by Navarch Zhou",TRUE,,,,graphics/icons/skills/impact_mitigation.png,
damage_control,ダメージコントロール,40,2,0,,失ったものは失った。あの区画は燃え尽きさせ、次の1時間を乗り切るために努力を集中させよう。,"Navarch Tethys, final address to the crew of the PLS Astelene Key",TRUE,,,,graphics/icons/skills/damage_control2.png,
field_modulation,フィールド変調,50,2,0,,私が「アクティブチューニング」と呼ぶ才能を持つ者は少ない。音楽家が最も優れたフィールドオフィサーになると思う。,"Ardis Soloman, leaked data submitted to COMSEC redaction algorithm",TRUE,,,active_defenses,graphics/icons/skills/field_modulation.png,
point_defense,ポイントディフェンス,60,3,0,,私はレーザーなどは使わない。確かに素晴らしい光のショーを演出するが、良いヴァルカンマトリックスのDUの壁ほど、侵入するブリップを止めるものはない。,"""Lower Deck Heroes"", a HEGCOM serial",TRUE,,,,graphics/icons/skills/advanced_countermeasures.png,
target_analysis,ターゲット分析,70,4,0,,機械支援された人間の心は、矛盾するセンサーデータや矛盾した戦術指令にもかかわらず、効果的な解決策を直感することができる。ターゲティングコンピュータだけでは、真の戦士を置き換えることはできない。,"""On Space Combat, XXII ed."", from Domain Battlegroup XIV library ",TRUE,,,,graphics/icons/skills/target_analysis2.png,
ballistic_mastery,弾道マスタリー,80,4,0,,"トライ・タキオンの陰謀を止めたのは何だ？（銃！）
あのルッドが忘れたのは何だ？（銃！）
私たちが持っているのは何だ？（大きな、大きな、銃！）",drinking song of the Hegemony navy,TRUE,,,ballistic_weapons,graphics/icons/skills/ranged_specialization.png,
systems_expertise,システム専門知識,90,5,4,2,いいえ、矛盾だとは思わない。それは、ええと、精神的な旅だ。あなたは試される。そして、彼らが言うように、悪魔は細部に宿る。,"""Ludd's Footsoldiers"" holodoc, interview with Pather engineer",TRUE,,,,graphics/icons/skills/systems_expertise.png,
missile_specialization,ミサイル専門化,100,5,4,2,私の同僚たちは彼らの気まぐれを評価しない。着陸を生き延びる必要がないから、これらの小さな宇宙船で全てのルールを破ることができる。,"Exit interview of K. Astraia, former ordnance designer, Culann Starforge",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
,,,,,,,,,,,,,
# LEADERSHIP,,,,,,,,,,,,,
tactical_drills,戦術訓練,500,1,0,,"完璧だ。
もう一度やってみて。","Cameron Fourth-Phobos, Coatl Gunnery Range",,TRUE,,,graphics/icons/skills/weapon_drills.png,
coordinated_maneuvers,協調行動,520,2,0,,司令官- 燃え盛る敵が接近中。大きなものだ。2つ数えろ。いや、3つだ。もっと...多すぎる！高エネルギーの読み取り。接触まで6秒。,"Audio archive from CIC of HSS Ceraon, recovered 189.09.13",,TRUE,,,graphics/icons/skills/coordinated_maneuvers2.png,
