id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,人口とインフラ,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,特定の人口を支えるために必要な基本的なインフラストラクチャーであり、古びた軌道ハブモジュールからメガシティ、そしてその間のすべてを含みます。,100,
farming,農業,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,農業は文明と同じくらい古い貿易と技術です。何千年もの間、人類は自然の、生物的に改良された、そして人工の生物機械の力を食料として利用してきました。そうであったように、これからも人間が人間である限りそうであり続けるでしょう。,200,LOW
aquaculture,水産養殖,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,水の惑星での農業は、適切な種のバイオエンジニアリングにかなりの初期投資を必要としますが、一度プロセスが軌道に乗ると、藻類農場や漁業は専門的な訓練や設備をほとんど必要とせずに住民によって運営されることができます。,210,MEDIUM
mining,鉱業,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,金属および金属類鉱石、有機物、揮発性化合物はすべて、重機、特別なインフラ、熟練した労働力を必要とします。過酷な作業は特定のタイプの人々を引き寄せ、時折目をつぶることを望まない管理者は、協力的な人員が不足することになるかもしれません。,300,MEDIUM
techmining,テクノロジー採掘,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,テックマイニングは、ドメインの遺跡から貴重なアーティファクトを回収する多様な技術です。特有の危険に対処するための特別な道具と、良い収穫を得るためにどこを探すべきかを知るための専門的な判断が必要です。最も古いテックマイナーたちは奇妙な連中で、幸運のお守りを握りしめ、儀式なしでは働こうとしません。,400,MEDIUM
refining,精製,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,ここにある精錬工場は、鉱石と超トランスプルトニウム鉱石をそれぞれ金属と超トランスプルトニウムに変換します。通常、最も危険な作業には遠隔操作ロボットが使用されます。,500,MEDIUM
spaceport,宇宙港,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,貨物の積み下ろしや基本的な宇宙船の修理を行うための施設です。宇宙港のないコロニーは、実質的に星間貿易にアクセスできません。,150,HIGH
megaport,メガポート,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,星々が土に触れることができる広大な星港。規則正しいランダーガントリーと装甲燃料タンクは、アクセス道路と短距離貨物トラムによって結ばれ、倉庫地区や物流ターミナルの広がりを支え、コロニーへのアクセスを大幅に向上させています。,151,EXTREME
lightindustry,軽工業,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,国内および高級品を生産します。低技術の性質により、崩壊の影響を比較的受けにくい数少ない産業の一つです。,1400,MEDIUM
heavyindustry,重工業,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,重工業機器、資材、武器の生産のための中央集権的な製造インフラ。かろうじて宇宙航行可能な宇宙船を生産することも可能で、製造品質を向上させるためにナノフォージを設置することができます。,1600,HIGH
